user_id,item_id,item_name,category,price,datetime,time_of_day,day_of_week,rating,calories,spicy_level,popularity_score,purchase_count,last_purchased_days_ago,user_age_group,user_gender,user_avg_spend,combo_preference,hour,date
U130,22,19,6,0.5833333333333334,2024-08-22 10:58:00,0,4,3,0.8809523809523812,0,0.74,1.0,0.2,1,0,0.7,4,10,2024-08-22
U186,5,15,5,0.33333333333333337,2025-08-02 13:58:00,1,2,3,0.5238095238095238,0,0.0,0.3684210526315789,0.8,2,1,0.36666666666666664,0,13,2025-08-02
U103,10,7,0,0.25,2024-01-06 14:42:00,1,2,4,0.047619047619047616,1,0.5800000000000001,0.8421052631578947,0.5333333333333333,1,1,0.8500000000000001,0,14,2024-01-06
U140,17,10,1,0.5833333333333334,2024-08-12 08:03:00,0,1,4,0.6428571428571429,0,0.10000000000000009,0.3684210526315789,0.8,0,1,0.4166666666666667,3,8,2024-08-12
U124,18,3,2,0.8333333333333333,2024-08-18 11:28:00,1,3,4,0.761904761904762,1,0.94,0.5263157894736843,0.8,2,1,0.8500000000000001,0,11,2024-08-18
U121,24,18,6,0.41666666666666663,2024-08-11 14:57:00,1,3,4,0.761904761904762,0,0.6400000000000001,0.5789473684210527,0.0,2,1,0.3333333333333333,2,14,2024-08-11
U167,2,20,5,0.0,2024-08-21 14:18:00,1,6,3,0.2380952380952381,2,0.17999999999999994,0.736842105263158,0.6,1,0,0.04999999999999999,5,14,2024-08-21
U145,12,23,4,0.33333333333333337,2025-09-19 16:52:00,2,0,4,0.2857142857142857,1,0.5,0.10526315789473684,1.0,2,0,1.0,1,16,2025-09-19
U147,2,20,5,0.0,2025-10-06 14:05:00,1,1,5,0.2380952380952381,2,0.98,0.3157894736842105,1.0,0,1,0.8666666666666667,4,14,2025-10-06
U197,20,9,2,1.0,2025-10-23 11:43:00,1,4,5,0.8095238095238095,1,0.0,0.6842105263157894,0.7333333333333333,2,0,0.06666666666666671,5,11,2025-10-23
U198,15,22,1,0.41666666666666663,2025-06-20 11:14:00,1,0,3,0.4761904761904763,0,0.32000000000000006,0.9473684210526316,0.13333333333333333,1,0,0.6499999999999999,0,11,2025-06-20
U117,5,15,5,0.33333333333333337,2024-03-24 14:56:00,1,3,5,0.5238095238095238,0,0.32000000000000006,0.5789473684210527,0.6,1,1,0.4333333333333333,1,14,2024-03-24
U113,12,23,4,0.33333333333333337,2024-06-09 11:35:00,1,3,3,0.2857142857142857,1,0.7,0.05263157894736842,0.6666666666666666,1,1,0.55,0,11,2024-06-09
U122,1,4,5,0.08333333333333331,2024-04-06 08:31:00,0,2,4,0.16666666666666666,1,0.1200000000000001,0.736842105263158,0.8,1,0,0.1166666666666667,1,8,2024-04-06
U185,12,23,4,0.33333333333333337,2025-09-27 08:37:00,0,2,3,0.2857142857142857,1,0.10000000000000009,0.6842105263157894,0.8666666666666667,2,0,0.95,3,8,2025-09-27
U112,16,12,1,0.5,2024-06-25 13:35:00,1,5,5,0.5238095238095238,2,0.41999999999999993,0.2631578947368421,0.8666666666666667,0,1,0.21666666666666673,3,13,2024-06-25
U138,20,9,2,1.0,2024-11-25 11:33:00,1,1,3,0.8095238095238095,1,0.7,0.2631578947368421,0.7333333333333333,2,1,0.1833333333333333,3,11,2024-11-25
U102,11,16,0,0.5833333333333334,2024-12-31 09:51:00,0,5,4,0.33333333333333337,1,0.6000000000000001,0.6842105263157894,0.2,1,1,0.016666666666666663,4,9,2024-12-31
U160,14,0,4,0.15000000000000002,2025-10-03 11:17:00,1,0,5,0.261904761904762,1,0.43999999999999995,0.05263157894736842,0.7333333333333333,1,1,0.35000000000000003,3,11,2025-10-03
U115,21,5,6,0.5833333333333334,2025-08-27 15:25:00,2,6,4,1.0000000000000002,0,0.15999999999999992,0.2631578947368421,0.9333333333333333,0,0,0.5,0,15,2025-08-27
U132,12,23,4,0.33333333333333337,2025-09-02 12:02:00,1,5,5,0.2857142857142857,1,0.6600000000000001,0.0,0.2,1,0,0.1166666666666667,1,12,2025-09-02
U146,22,19,6,0.5833333333333334,2024-06-25 16:51:00,2,5,5,0.8809523809523812,0,0.1200000000000001,0.5263157894736843,0.4,1,1,0.6666666666666667,4,16,2024-06-25
U134,11,16,0,0.5833333333333334,2024-05-30 11:17:00,1,4,5,0.33333333333333337,1,0.72,0.15789473684210525,0.26666666666666666,0,1,0.5833333333333333,2,11,2024-05-30
U127,3,1,3,0.33333333333333337,2025-03-16 14:44:00,1,3,5,0.4047619047619049,0,0.24,0.631578947368421,0.3333333333333333,2,0,0.1166666666666667,5,14,2025-03-16
U131,20,9,2,1.0,2025-08-14 09:32:00,0,4,5,0.8095238095238095,1,0.76,1.0,0.2,0,0,0.7166666666666668,1,9,2025-08-14
U157,17,10,1,0.5833333333333334,2024-02-06 10:30:00,0,5,4,0.6428571428571429,0,0.1200000000000001,0.8421052631578947,0.8666666666666667,2,1,0.8,5,10,2024-02-06
U130,11,16,0,0.5833333333333334,2024-09-28 14:34:00,1,2,3,0.33333333333333337,1,0.72,0.9473684210526316,0.26666666666666666,0,0,0.8500000000000001,2,14,2024-09-28
U196,1,4,5,0.08333333333333331,2024-05-08 16:27:00,2,6,5,0.16666666666666666,1,0.10000000000000009,0.42105263157894735,0.7333333333333333,2,1,0.033333333333333326,4,16,2024-05-08
U102,15,22,1,0.41666666666666663,2025-01-27 11:50:00,1,1,4,0.4761904761904763,0,0.54,1.0,0.8,1,0,0.2833333333333334,5,11,2025-01-27
U138,7,2,0,0.0,2025-07-10 13:08:00,1,4,3,0.0,1,1.0,0.5789473684210527,0.6,0,0,0.8,1,13,2025-07-10
U182,11,16,0,0.5833333333333334,2025-05-13 12:00:00,1,5,5,0.33333333333333337,1,0.24,0.7894736842105263,0.8666666666666667,1,0,0.21666666666666673,1,12,2025-05-13
U190,17,10,1,0.5833333333333334,2025-06-24 11:40:00,1,5,3,0.6428571428571429,0,0.17999999999999994,0.9473684210526316,0.26666666666666666,2,1,0.4166666666666667,0,11,2025-06-24
U117,5,15,5,0.33333333333333337,2025-03-30 10:37:00,0,3,3,0.5238095238095238,0,0.9000000000000001,0.10526315789473684,1.0,2,0,0.45,1,10,2025-03-30
U143,23,6,6,0.6666666666666666,2024-11-22 15:00:00,2,0,4,0.9285714285714286,2,0.6000000000000001,0.0,0.4,2,0,0.5,5,15,2024-11-22
U100,11,16,0,0.5833333333333334,2024-12-26 08:29:00,0,4,5,0.33333333333333337,1,0.3600000000000001,0.736842105263158,0.3333333333333333,0,0,0.06666666666666671,3,8,2024-12-26
U197,18,3,2,0.8333333333333333,2024-07-06 10:04:00,0,2,5,0.761904761904762,1,0.6200000000000001,0.21052631578947367,0.06666666666666667,1,0,0.8166666666666667,5,10,2024-07-06
U143,1,4,5,0.08333333333333331,2024-01-05 12:54:00,1,0,4,0.16666666666666666,1,0.28,0.9473684210526316,0.6666666666666666,0,0,0.8,5,12,2024-01-05
U180,9,14,0,0.16666666666666669,2025-10-26 13:45:00,1,3,5,0.2857142857142857,1,0.78,0.05263157894736842,0.9333333333333333,1,0,0.9333333333333333,4,13,2025-10-26
U162,12,23,4,0.33333333333333337,2025-04-01 08:07:00,0,5,4,0.2857142857142857,1,0.10000000000000009,0.894736842105263,0.2,2,0,1.0,5,8,2025-04-01
U174,19,21,2,0.9166666666666667,2025-04-05 15:23:00,2,2,5,0.7142857142857144,0,0.98,0.47368421052631576,0.5333333333333333,1,1,0.46666666666666673,4,15,2025-04-05
U180,6,17,5,0.5833333333333334,2025-08-05 16:34:00,2,5,5,0.5714285714285715,2,0.8800000000000001,0.3684210526315789,0.8,2,1,0.7833333333333334,0,16,2025-08-05
U155,14,0,4,0.15000000000000002,2025-02-25 17:04:00,2,5,5,0.261904761904762,1,0.6400000000000001,1.0,0.7333333333333333,0,1,0.6499999999999999,4,17,2025-02-25
U104,18,3,2,0.8333333333333333,2024-05-12 10:47:00,0,3,3,0.761904761904762,1,0.41999999999999993,0.8421052631578947,0.4666666666666667,2,1,0.9666666666666668,2,10,2024-05-12
U150,10,7,0,0.25,2024-12-27 09:33:00,0,0,4,0.047619047619047616,1,0.94,0.15789473684210525,0.8,2,1,0.16666666666666669,0,9,2024-12-27
U180,3,1,3,0.33333333333333337,2024-05-16 11:47:00,1,4,5,0.4047619047619049,0,0.26,1.0,0.0,1,0,0.46666666666666673,0,11,2024-05-16
U154,5,15,5,0.33333333333333337,2025-06-14 16:29:00,2,2,5,0.5238095238095238,0,0.6600000000000001,0.42105263157894735,1.0,1,0,0.5833333333333333,0,16,2025-06-14
U138,19,21,2,0.9166666666666667,2025-02-08 10:04:00,0,2,5,0.7142857142857144,0,0.52,0.15789473684210525,0.4,2,1,0.46666666666666673,1,10,2025-02-08
U199,12,23,4,0.33333333333333337,2024-09-02 13:52:00,1,1,3,0.2857142857142857,1,0.5,0.631578947368421,0.0,2,0,0.23333333333333334,0,13,2024-09-02
U110,3,1,3,0.33333333333333337,2024-06-04 14:52:00,1,5,4,0.4047619047619049,0,0.8800000000000001,0.9473684210526316,0.2,1,0,0.35000000000000003,2,14,2024-06-04
